spatial_node_id,latitude,longitude,police_station,address
0.0,13.040020428947368,77.51831476052632,Peenya,"Mumbai Bengaluru Highway, Vivekanand Nagar, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
1.0,12.922232399999999,77.64539243333333,HSR Layout,"Outer Ring Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)"
2.0,12.955421033333332,77.58570946666667,Wilson Garden,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)"
3.0,13.006317375,77.5791143,Sadashivanagar,"13th Cross Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
4.0,12.954005725,77.585363925,Wilson Garden,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)"
11.0,12.945177073333333,77.5278456325,Byatarayanapura,"Dr Rajkumar Puniya Bhoomi Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)"
12.0,12.9999998,77.6821895,Mahadevapura,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)"
13.0,13.0419978,77.5941756,Hebbala,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
14.0,12.976041233333333,77.62622626666666,Halasur,"Old Madras Road, A Nanjappa Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)"
15.0,13.063775,77.5935833,Hebbala,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
17.0,12.9233517,77.5904883,Jayanagara,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)"
18.0,12.99857801109589,77.58435436945206,Sadashivanagar,"Sankey Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
19.0,12.906040257142857,77.62809321428573,Madiwala,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)"
21.0,12.91674725,77.59519265,Jayanagara,"Silk Board Double Decker Flyover, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)"
24.0,12.947006100000001,77.59776556666667,Wilson Garden,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)"
25.0,12.98356075,77.59615308,Cubbon Park,"Infantry Road, Income Tax Colony, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
26.0,12.906670075,77.601059325,Mico Layout,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)"
27.0,12.9635109,77.6642122,HAL Old Airport,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)"
31.0,12.979913,77.5642518,Magadi Road,"Magadi Road, Sobha Indraprastha, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
33.0,12.92213665,77.60030735000001,Mico Layout,"Bannerghatta Main Road, Sobha Magnolia, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)"
34.0,12.9466212,77.698561,HAL Old Airport,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)"
35.0,13.044887517647059,77.50730104705883,Peenya,"Mumbai Bengaluru Highway, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)"
38.0,13.029628469387754,77.53830526734694,Yeshwanthpura,"Outer Ring Road, RNS Shriniketan, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
39.0,13.02627062,77.54423446000001,Yeshwanthpura,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
40.0,12.9188682,77.6687736,Bellandur,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)"
42.0,12.937391327857142,77.5199997542857,Byatarayanapura,"Mysore Road, BWSSB Quarters, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)"
43.0,12.96832542,77.70133475571429,HAL Old Airport,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
44.0,12.985987117647058,77.58862548235294,High ground,"Palace Road, Dharmaprakash Devarao Shivaram Ubhayaker Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
45.0,13.012880025,77.554141275,Malleshwaram,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
46.0,12.9842019,77.7336286,Whitefield,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)"
47.0,13.2645011,77.7187932,Devanahalli Airport,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)"
48.0,12.984363799999999,77.75234276666667,Mahadevapura,"Whitefield Main Road, Hope Farm Circle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)"
49.0,12.9366267,77.6929083,HAL Old Airport,"Embassy Tech Square Main Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
51.0,12.951415475000001,77.4993767,Jnanabharathi,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
53.0,12.9795366375,77.60271975,Shivajinagar,"Cubbon Road, Shivaji Nagar Intersection Junction, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
54.0,12.9169753,77.58553234285715,Jayanagara,"46th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)"
55.0,13.018659044,77.656429696,Banaswadi,"2nd Cross Road, Horamavu Junction, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)"
56.0,12.9740942,77.54506315,Vijayanagara,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
